Model,Hidden,Conv1,Conv2,Dense,LR,Patience,R2,RMSE,rRMSE(%),MAE
BPNN,128.0,,,,0.01,30,0.22876754623057038,4.078708731074014,12.351202552452504,3.2551169572053134
BPNN,128.0,,,,0.01,20,0.22838402579335848,4.079722740355966,12.35427318947447,3.24856046001607
BPNN,64.0,,,,0.01,20,0.20314404207947345,4.145910822972956,12.554704862550972,3.3091104844960655
BPNN,32.0,,,,0.01,30,0.19710544194053214,4.161590097462481,12.602185059805615,3.315105567743749
BPNN,64.0,,,,0.01,30,0.1882483857490046,4.184481236132369,12.671504324555762,3.329075022489446
BPNN,16.0,,,,0.01,20,0.1731320244712734,4.223263026825878,12.788943882951544,3.3553705431306313
BPNN,32.0,,,,0.01,20,0.1619391865528983,4.2517508905638834,12.875211228455797,3.38678169054259
BPNN,16.0,,,,0.01,30,0.15048365838272704,4.280711043218403,12.962908765830997,3.424312116677869
BPNN,8.0,,,,0.01,20,0.14473036063537292,4.295182011195558,13.006729952486026,3.4415991904804244
BPNN,8.0,,,,0.01,30,0.1350635938523731,4.31938716056922,13.080028322739532,3.4283149526933583
CNN,,32.0,64.0,64.0,0.01,30,0.07089309039479597,4.476750483785148,13.556558128498713,3.5752400723995006
CNN,,32.0,64.0,64.0,0.01,20,0.06890446768008263,4.481538850455182,13.57105832709991,3.5704929485242554
CNN,,32.0,32.0,64.0,0.01,20,0.06749496624484952,4.484929666137622,13.581326442347455,3.5707032042766302
CNN,,16.0,64.0,64.0,0.01,20,0.06350040301553128,4.494525426764748,13.610384458245365,3.58845370885276
CNN,,32.0,64.0,32.0,0.01,30,0.0631873088991387,4.495276677419514,13.612659405935053,3.593566297994229
CNN,,16.0,64.0,64.0,0.01,30,0.06275668556180702,4.496309727388462,13.615787702230417,3.5906483136086798
CNN,,32.0,64.0,32.0,0.01,20,0.05850012800503812,4.5065083172312805,13.646671213950281,3.5963965463049616
CNN,,32.0,32.0,64.0,0.01,30,0.055595733511449974,4.513453936497165,13.667704034889807,3.614608954990842
CNN,,16.0,64.0,32.0,0.01,20,0.05365164101292108,4.518097107433097,13.681764549747962,3.6079598218815807
CNN,,16.0,64.0,32.0,0.01,30,0.05292698725482159,4.519826613006194,13.687001862598025,3.630553039503686
CNN,,32.0,16.0,64.0,0.01,30,0.051374849824857294,4.523528819688293,13.698212936405104,3.6223403828624834
CNN,,32.0,64.0,16.0,0.01,20,0.04862405109652368,4.530082678014323,13.7180594214135,3.6344282224835682
CNN,,8.0,64.0,64.0,0.01,20,0.04728885340090505,4.5332604098317635,13.727682273135065,3.6476881788591298
CNN,,32.0,32.0,32.0,0.01,30,0.045911047671949645,4.536537213930068,13.737605136916567,3.6483832975473915
CNN,,16.0,32.0,64.0,0.01,20,0.045281927434166924,4.538032649464101,13.74213363561623,3.6493761784745833
CNN,,8.0,64.0,64.0,0.01,30,0.04496227056926472,4.538792293556251,13.74443400042984,3.6536637628029403
CNN,,8.0,32.0,64.0,0.01,30,0.042287922301042835,4.545142736698113,13.763664500746128,3.6556135381690757
CNN,,16.0,32.0,64.0,0.01,30,0.04161381622802851,4.546742053148859,13.768507573083735,3.6635153185683516
CNN,,32.0,64.0,16.0,0.01,30,0.041052601482506224,4.548073105953535,13.772538285714262,3.6597356246822654
CNN,,32.0,32.0,16.0,0.01,20,0.040710591104863636,4.548884073028321,13.77499406749827,3.666601850172129
CNN,,16.0,64.0,16.0,0.01,20,0.037382593563182076,4.556767808480931,13.798867704932412,3.662095171924481
CNN,,32.0,16.0,64.0,0.01,20,0.036285795546915356,4.559363040523284,13.806726622727034,3.6616849428341713
CNN,,8.0,64.0,32.0,0.01,30,0.035897155593920704,4.560282281943926,13.809510282392273,3.6757730279930336
CNN,,32.0,32.0,32.0,0.01,20,0.03501872559635155,4.56235933042166,13.815800029503734,3.673658367047094
CNN,,8.0,32.0,64.0,0.01,20,0.03487122339769455,4.5627080067824695,13.81685589611289,3.68232263360985
CNN,,16.0,16.0,64.0,0.01,30,0.032408023594462376,4.568526763783055,13.834476337055435,3.6796049522274314
CNN,,32.0,16.0,32.0,0.01,20,0.032244636734577226,4.568912466513332,13.835644327431995,3.680053104589015
CNN,,32.0,32.0,16.0,0.01,30,0.03219994386816871,4.569017966025264,13.83596380252251,3.6877262013439287
CNN,,16.0,16.0,64.0,0.01,20,0.031789479211580596,4.569986772324247,13.838897555242259,3.684068487504873
CNN,,16.0,32.0,32.0,0.01,30,0.03160434725955408,4.5704236660132604,13.840220562792608,3.68994499528359
CNN,,16.0,32.0,32.0,0.01,20,0.03157697525908698,4.570488257770964,13.84041616045236,3.6836860209335516
CNN,,8.0,32.0,32.0,0.01,30,0.02888304984632495,4.5768408554386575,13.859653185133764,3.6914318559591663
CNN,,8.0,64.0,32.0,0.01,20,0.026990006496382946,4.5812996077510135,13.873155240949018,3.701565299014496
CNN,,8.0,64.0,16.0,0.01,20,0.026499321189358716,4.582454628295262,13.876652890238256,3.6991151860711997
CNN,,8.0,16.0,64.0,0.01,20,0.024133646187995628,4.588019093082486,13.893503279960715,3.7086719367729786
CNN,,32.0,16.0,32.0,0.01,30,0.02344831483524923,4.589629847191352,13.89838098797385,3.7087863266713335
CNN,,16.0,32.0,16.0,0.01,20,0.02112452529752873,4.595087313881851,13.914907364570459,3.7103818905206376
CNN,,16.0,64.0,16.0,0.01,30,0.016342187147056708,4.606298385681893,13.948856888246288,3.7229065993195207
CNN,,32.0,16.0,16.0,0.01,20,0.010626053553969839,4.61966282779814,13.989327277887186,3.7475720158329717
CNN,,16.0,16.0,32.0,0.01,30,0.007841808883586432,4.626158468440373,14.008997467295153,3.732163825643406
CNN,,16.0,16.0,32.0,0.01,20,0.0018009207956662943,4.640220588998488,14.051580576504955,3.7658096439063304
CNN,,8.0,16.0,32.0,0.01,30,0.001411510532245086,4.6411256055254295,14.054321160149088,3.759939195687879
CNN,,8.0,64.0,16.0,0.01,30,0.00047196984602870806,4.643308437189182,14.060931241376885,3.761495132995731
CNN,,8.0,16.0,64.0,0.01,30,0.0001551652738555065,4.644044236864339,14.063159400195055,3.765158480577508
CNN,,32.0,16.0,16.0,0.01,30,-0.0007599236504540752,4.646168937305349,14.06959344764499,3.763028166421647
CNN,,8.0,32.0,16.0,0.01,30,-0.004392124685585808,4.654592803256569,14.095102715773294,3.7767359140969106
CNN,,8.0,16.0,32.0,0.01,20,-0.010928483806016409,4.669713766221443,14.140892226297652,3.7782167858547635
CNN,,16.0,32.0,16.0,0.01,30,-0.0195570153970559,4.689600019851502,14.201112056344115,3.805360746972355
CNN,,16.0,16.0,16.0,0.01,20,-0.022505197370875862,4.6963754201907655,14.221629417960708,3.8110260021539384
CNN,,8.0,32.0,32.0,0.01,20,-0.023988914817304696,4.699781548694404,14.231943903706554,3.8205206286269453
CNN,,16.0,16.0,16.0,0.01,30,-0.03744267739373308,4.730555031766533,14.325132593492757,3.839808097101533
CNN,,8.0,32.0,16.0,0.01,20,-0.04607285534464811,4.750190323462882,14.384592457118329,3.85364104887095
CNN,,8.0,16.0,16.0,0.01,20,-0.06708469199254008,4.797660242517961,14.528341526751799,3.8870314904201178
CNN,,8.0,16.0,16.0,0.01,30,-0.1326939416388142,4.942951316739341,14.968313980067716,4.00557916350816
CNN,,32.0,64.0,64.0,0.001,20,-0.5849611928553256,5.8470843749347345,17.706222291848313,4.691781946661051
BPNN,128.0,,,,0.001,20,-0.586229775082898,5.849423871866672,17.713306789021903,4.6380057648866755
CNN,,16.0,64.0,64.0,0.001,20,-0.58794799685317,5.85259109496973,17.7228978181083,4.708263640541108
CNN,,16.0,64.0,16.0,0.001,20,-0.5929531367836984,5.861807388944695,17.750806727808204,4.73054976718416
CNN,,32.0,64.0,64.0,0.001,30,-0.6064026458808081,5.886501373359252,17.825585395136816,4.735407217049304
BPNN,128.0,,,,0.001,30,-0.6183403130228879,5.908333080862779,17.89169647568239,4.661253856533349
CNN,,16.0,64.0,64.0,0.001,30,-0.6445105196190661,5.955913370362287,18.035779770631965,4.7609197534160845
CNN,,16.0,16.0,64.0,0.001,20,-0.6483151811491206,5.962799049394064,18.056631079720237,4.803372999277625
CNN,,32.0,32.0,16.0,0.001,30,-0.6714684898963463,6.004531689295491,18.183006440761364,4.77404375625736
CNN,,8.0,32.0,64.0,0.001,30,-0.692953007029653,6.0429986308770465,18.29949256869383,4.8279823275750555
CNN,,32.0,32.0,32.0,0.001,20,-0.7015128760226839,6.058256601893474,18.345696968906964,4.911554175639839
CNN,,8.0,64.0,64.0,0.001,30,-0.7020769160336537,6.0592606542368195,18.34873745418885,4.875141098666093
CNN,,16.0,64.0,32.0,0.001,30,-0.7059750356768089,6.066195186592022,18.369736701591126,4.905724784474314
CNN,,16.0,32.0,64.0,0.001,20,-0.7248283469998962,6.09962287998791,18.470962908024642,4.9310929137492865
CNN,,32.0,64.0,32.0,0.001,30,-0.7361310817086197,6.119575544739224,18.531383845152888,4.919759789612067
CNN,,16.0,16.0,32.0,0.001,30,-0.7381141380918397,6.123069520536218,18.541964351295253,4.899123156512225
CNN,,32.0,32.0,64.0,0.001,20,-0.7429650399458392,6.131608002963307,18.56782070263117,4.959963013605816
CNN,,32.0,64.0,16.0,0.001,30,-0.7458031958034799,6.136598172075499,18.58293200219667,4.927830664709272
CNN,,8.0,64.0,64.0,0.001,20,-0.7480320057306442,6.140514119874793,18.59479032982998,4.842383979279318
CNN,,32.0,32.0,32.0,0.001,30,-0.7630902350652826,6.166905796253939,18.67470997159655,4.957837669937699
CNN,,8.0,32.0,32.0,0.001,30,-0.7648245189699749,6.169938124503171,18.68389251020894,4.976613409725236
CNN,,8.0,16.0,64.0,0.001,30,-0.7929588661013487,6.218923397374018,18.832230395360074,4.974569110713378
CNN,,8.0,64.0,32.0,0.001,20,-0.8020478296281288,6.234666122127513,18.879902733587258,4.951154716711476
