Feature,Mean_Contribution,Std_Contribution
GNDVI_std,0.17391760434183431,0.036077554811826326
Canopy_HP,0.1307593430779869,0.02228582597307459
Canopy_LAI,0.10745082168263836,0.021121841084566956
Canopy_Volume,0.10521684802811515,0.010383463815883098
Canopy_K,0.09197911186335067,0.012872150431838387
Canopy_S,0.08347401436711392,0.011828640487739973
Canopy_COV,0.0806197040107439,0.012882725235662567
Green_correlation,0.0440963871664972,0.023531888345315534
Thermal_correlation,0.03294790258989823,0.00863814823674891
NDVI_mean,0.027983934668261892,0.0048339072347539066
Thermal_contrast,0.026360847344850304,0.0064508842808778544
NIR_mean,0.02527386245984258,0.00812434869242962
Temp_std,0.024557246251672896,0.004236774465155015
Green_contrast,0.023550998122002252,0.006122701043782648
RedEdge_contrast,0.021811374025191354,0.005930472372604263
